PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
Río Negro;9/3/2020;1;;;;;
Salta;9/3/2020;0;;;;;
San Juan;9/3/2020;0;;;;;
San Luis;9/3/2020;1;;;;;
Santa Cruz;9/3/2020;0;;;;;
Santa Fe;9/3/2020;0;;;;;
Santiago del Estero;9/3/2020;0;;;;;
Tierra del Fuego;9/3/2020;0;;;;;
Tucumán;9/3/2020;0;;;;;
Buenos Aires;10/3/2020;1;;;;;
Catamarca;10/3/2020;0;;;;;
Chaco;10/3/2020;0;;;;;
Chubut;10/3/2020;0;;;;;
Ciudad de Buenos Aires;10/3/2020;1;;;;;
Córdoba;10/3/2020;0;;;;;
Corrientes;10/3/2020;0;;;;;
Entre Ríos;10/3/2020;0;;;;;
Jujuy;10/3/2020;0;;;;;
La Pampa;10/3/2020;0;;;;;
La Rioja;10/3/2020;0;;;;;
Mendoza;10/3/2020;0;;;;;
Misiones;10/3/2020;0;;;;;
Neuquén;10/3/2020;0;;;;;
Río Negro;10/3/2020;0;;;;;
Salta;10/3/2020;0;;;;;
San Juan;10/3/2020;0;;;;;
San Luis;10/3/2020;0;;;;;
Santa Cruz;10/3/2020;0;;;;;
Santa Fe;10/3/2020;0;;;;;
Santiago del Estero;10/3/2020;0;;;;;
Tierra del Fuego;10/3/2020;0;;;;;
Tucumán;10/3/2020;0;;;;;
Buenos Aires;11/3/2020;1;;;;;
Catamarca;11/3/2020;0;;;;;
Chaco;11/3/2020;0;;;;;
Chubut;11/3/2020;0;;;;;
Ciudad de Buenos Aires;11/3/2020;1;;;;;
Córdoba;11/3/2020;0;;;;;
Corrientes;11/3/2020;0;;;;;
Entre Ríos;11/3/2020;0;;;;;
Jujuy;11/3/2020;0;;;;;
La Pampa;11/3/2020;0;;;;;
La Rioja;11/3/2020;0;;;;;
Mendoza;11/3/2020;0;;;;;
Misiones;11/3/2020;0;;;;;
Neuquén;11/3/2020;0;;;;;
Río Negro;11/3/2020;0;;;;;
Salta;11/3/2020;0;;;;;
San Juan;11/3/2020;0;;;;;
San Luis;11/3/2020;0;;;;;
Santa Cruz;11/3/2020;0;;;;;
Santa Fe;11/3/2020;0;;;;;
Santiago del Estero;11/3/2020;0;;;;;
Tierra del Fuego;11/3/2020;0;;;;;
Tucumán;11/3/2020;0;;;;;
Buenos Aires;12/3/2020;4;;;;;
Catamarca;12/3/2020;0;;;;;
Chaco;12/3/2020;2;;;;;
Chubut;12/3/2020;0;;;;;
Ciudad de Buenos Aires;12/3/2020;2;;;;;
Córdoba;12/3/2020;1;;;;;
Corrientes;12/3/2020;0;;;;;
Entre Ríos;12/3/2020;1;;;;;
Jujuy;12/3/2020;0;;;;;
La Pampa;12/3/2020;0;;;;;
La Rioja;12/3/2020;0;;;;;
Mendoza;12/3/2020;0;;;;;
Misiones;12/3/2020;0;;;;;
Neuquén;12/3/2020;0;;;;;
Río Negro;12/3/2020;0;;;;;
Salta;12/3/2020;0;;;;;
San Juan;12/3/2020;0;;;;;
San Luis;12/3/2020;0;;;;;
Santa Cruz;12/3/2020;0;;;;;
Santa Fe;12/3/2020;0;;;;;
Santiago del Estero;12/3/2020;0;;;;;
Tierra del Fuego;12/3/2020;0;;;;;
Tucumán;12/3/2020;0;;;;;
Buenos Aires;13/3/2020;1;;;;;
Catamarca;13/3/2020;0;;;;;
Chaco;13/3/2020;0;;;;;
Chubut;13/3/2020;0;;;;;
Ciudad de Buenos Aires;13/3/2020;2;;;;;
Córdoba;13/3/2020;0;;;;;
Corrientes;13/3/2020;0;;;;;
Entre Ríos;13/3/2020;0;;;;;
Jujuy;13/3/2020;0;;;;;
La Pampa;13/3/2020;0;;;;;
La Rioja;13/3/2020;0;;;;;
Mendoza;13/3/2020;0;;;;;
Misiones;13/3/2020;0;;;;;
Neuquén;13/3/2020;0;;;;;
Río Negro;13/3/2020;0;;;;;
Salta;13/3/2020;0;;;;;
San Juan;13/3/2020;0;;;;;
San Luis;13/3/2020;0;;;;;
Santa Cruz;13/3/2020;0;;;;;
Santa Fe;13/3/2020;0;;;;;
Santiago del Estero;13/3/2020;0;;;;;
Tierra del Fuego;13/3/2020;0;;;;;
Tucumán;13/3/2020;0;;;;;
Buenos Aires;14/3/2020;1;;;;;
Catamarca;14/3/2020;0;;;;;
Chaco;14/3/2020;1;;;;;
Chubut;14/3/2020;0;;;;;
Ciudad de Buenos Aires;14/3/2020;6;;;;;
Córdoba;14/3/2020;0;;;;;
Corrientes;14/3/2020;0;;;;;
Entre Ríos;14/3/2020;0;;;;;
Jujuy;14/3/2020;0;;;;;
La Pampa;14/3/2020;0;;;;;
La Rioja;14/3/2020;0;;;;;
Mendoza;14/3/2020;0;;;;;
Misiones;14/3/2020;0;;;;;
Neuquén;14/3/2020;0;;;;;
Río Negro;14/3/2020;0;;;;;
Salta;14/3/2020;0;;;;;
San Juan;14/3/2020;0;;;;;
San Luis;14/3/2020;2;;;;;
Santa Cruz;14/3/2020;0;;;;;
Santa Fe;14/3/2020;1;;;;;
Santiago del Estero;14/3/2020;0;;;;;
Tierra del Fuego;14/3/2020;0;;;;;
Tucumán;14/3/2020;0;;;;;
Buenos Aires;15/3/2020;1;;;;;
Catamarca;15/3/2020;0;;;;;
Chaco;15/3/2020;2;;;;;
Chubut;15/3/2020;0;;;;;
Ciudad de Buenos Aires;15/3/2020;6;;;;;
Córdoba;15/3/2020;0;;;;;
Corrientes;15/3/2020;0;;;;;
Entre Ríos;15/3/2020;0;;;;;
Jujuy;15/3/2020;0;;;;;
La Pampa;15/3/2020;0;;;;;
La Rioja;15/3/2020;0;;;;;
Mendoza;15/3/2020;0;;;;;
Misiones;15/3/2020;0;;;;;
Neuquén;15/3/2020;0;;;;;
Río Negro;15/3/2020;0;;;;;
Salta;15/3/2020;0;;;;;
San Juan;15/3/2020;0;;;;;
San Luis;15/3/2020;0;;;;;
Santa Cruz;15/3/2020;0;;;;;
Santa Fe;15/3/2020;0;;;;;
Santiago del Estero;15/3/2020;0;;;;;
Tierra del Fuego;15/3/2020;2;;;;;
Tucumán;15/3/2020;0;;;;;
Buenos Aires;16/3/2020;1;;;;;
Catamarca;16/3/2020;0;;;;;
Chaco;16/3/2020;3;;;;;
Chubut;16/3/2020;0;;;;;
Ciudad de Buenos Aires;16/3/2020;5;;;;;
Córdoba;16/3/2020;0;;;;;
Corrientes;16/3/2020;0;;;;;
Entre Ríos;16/3/2020;0;;;;;
Jujuy;16/3/2020;0;;;;;
La Pampa;16/3/2020;0;;;;;
La Rioja;16/3/2020;0;;;;;
Mendoza;16/3/2020;0;;;;;
Misiones;16/3/2020;0;;;;;
Neuquén;16/3/2020;0;;;;;
Río Negro;16/3/2020;0;;;;;
Salta;16/3/2020;0;;;;;
San Juan;16/3/2020;0;;;;;
