Día;Casos confirmados;Casos acumulados;Nuevas muertes;Muertes Acumuladas;Recuperaciones;UTI;nuevas_muestras;total_pruebas;DescEpidemiologia;DescTest;Descartados;Importados;Contacto Estrecho;Circulacion Comunitaria;Investigacion;InicioSint
31/3/2020;88;1054;3;28;248;55;;;;4597;4597;529;295;1;229;
1/4/2020;79;1133;5;33;256;72;;;;5144;5144;580;349;1;203;
2/4/2020;132;1265;4;37;266;82;;;;6120;6120;622;397;103;143;
3/4/2020;88;1353;5;42;279;86;;;;7135;7135;656;460;113;124;
4/4/2020;98;1451;1;43;280;87;;;394;7494;7888;674;490;119;168;
5/4/2020;103;1554;3;46;325;94;;;383;8125;8508;695;536;148;175;
6/4/2020;74;1628;7;53;338;96;;;458;8707;9165;718;563;175;172;
7/4/2020;87;1715;7;60;358;98;1552;;418;10020;10438;738;588;205;184;
8/4/2020;80;1795;5;65;365;98;1520;;450;11385;11835;767;618;224;186;
9/4/2020;99;1894;14;79;375;98;1529;16379;;;12983;785;641;261;207;
10/4/2020;81;1975;3;82;440;115;1648;18027;566;13584;14150;790;672;290;223;
11/4/2020;167;2142;7;89;468;83;1731;19758;464;15016;15480;816;712;304;310;
12/4/2020;66;2208;6;95;515;113;1435;21193;492;15924;16416;821;766;318;303;
13/4/2020;69;2277;3;98;559;116;1612;22805;532;17192;17724;830;790;354;303;
14/4/2020;166;2443;7;105;596;117;1569;24374;473;18428;18901;833;857;393;360;
15/4/2020;128;2571;7;112;631;121;2083;26457;475;20172;20647;840;903;425;403;96
16/4/2020;98;2669;10;122;666;126;2193;28650;491;21819;22310;845;951;448;425;101
17/4/2020;89;2758;7;129;685;127;2292;30942;527;23449;23976;851;997;474;436;115
18/4/2020;81;2839;3;132;709;123;1770;32712;556;24703;25259;856;1184;496;303;119
19/4/2020;102;2941;2;134;737;126;1856;34568;533;26125;26658;858;1235;538;310;97
20/4/2020;90;3031;8;142;840;129;2043;36611;566;27732;28298;863;1293;576;299;151
21/4/2020;113;3144;9;151;872;131;2617;39228;516;29846;30362;866;1346;618;314;129
22/4/2020;144;3288;8;159;919;136;2558;41786;648;31766;32414;870;1408;669;341;155
23/4/2020;147;3435;6;165;976;141;2868;44654;482;33949;34431;875;1490;722;348;112
24/4/2020;172;3607;11;176;1030;144;2752;47406;622;35988;36610;887;1562;755;403;140
25/4/2020;173;3780;9;185;1107;139;2499;49905;650;37565;38215;888;1641;797;454;134
26/4/2020;112;3892;7;192;1140;151;1995;51900;1600;38390;39990;900;1684;829;479;103
27/4/2020;111;4003;5;197;1162;155;1700;53600;582;40977;41559;905;1725;897;476;114
28/4/2020;124;4127;10;207;1192;154;2458;56058;607;42715;43322;909;1766;984;468;109
29/4/2020;158;4285;7;214;1256;157;2627;58685;591;44855;45446;912;1835;1041;497;103
30/4/2020;143;4428;4;218;1292;157;2845;61530;665;46802;47467;915;1904;1149;460;122
1/5/2020;105;4532;7;225;1320;164;2336;63866;640;48607;49247;916;1949;1224;443;125
2/5/2020;149;4681;12;237;1354;164;1947;65813;660;50119;50779;917;2012;1267;485;96
3/5/2020;103;4784;9;246;1442;146;1497;67920;679;51585;52264;920;2076;1314;473;109
4/5/2020;104;4887;14;260;1472;148;1798;69718;701;53194;53895;924;2136;1378;450;117
5/5/2020;134;5020;4;264;1524;143;2597;72315;671;55222;55893;929;2204;1446;442;120
6/5/2020;188;5208;9;273;1601;151;2883;75198;694;57134;57828;927;2292;1510;479;92
7/5/2020;163;5371;9;282;1601;151;2703;77901;657;59111;59768;929;2374;1595;473;69
8/5/2020;240;5611;11;293;1728;157;2828;80729;1851;59852;61703;931;2469;1644;567;37
9/5/2020;165;5776;7;300;1757;160;2289;83018;698;62760;63458;930;2530;1703;600;55
10/5/2020;258;6034;5;305;1837;164;2140;85158;713;64104;64817;929;2667;1768;670;67
11/5/2020;244;6278;9;314;1837;164;;;;;;929;2800;1833;716;12
