PROVINCIA;FECHA;CASOS
Tierra del Fuego;15/3/2020;1
Tucumán;27/3/2020;6
Tucumán;25/3/2020;2
Tucumán;22/3/2020;5
Tucumán;21/3/2020;1
Tucumán;19/3/2020;1
Buenos Aires;30/3/2020;36
Ciudad de Buenos Aires;30/3/2020;34
Chaco;30/3/2020;12
Santa Fe;30/3/2020;21
Córdoba;30/3/2020;8
Tierra del Fuego;30/3/2020;11
Corrientes;30/3/2020;10
Entre Ríos;30/3/2020;3
Mendoza;30/3/2020;3
Neuquén;30/3/2020;8
