;;;;;;CASOS CONFIRMADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;longitud;CASO;PROVINCIA;Departamento;Localidad;2/3/2020;3/3/2020;4/3/2020;5/3/2020;6/3/2020;7/3/2020;8/3/2020;9/3/2020;10/3/2020;11/3/2020;12/3/2020;13/3/2020;14/3/2020;15/3/2020;16/3/2020;17/3/2020;18/3/2020;19/3/2020;20/3/0202;21/3/2020;22/3/2020;23/3/2020;24/3/2020;25/3/2020;26/3/2020;27/3/2020;28/3/2020;29/3/2020;30/3/2020;31/3/2020;1/4/2020;2/4/2020;3/4/2020;4/4/2020;5/4/2020;6/4/2020;7/4/2020;8/4/2020;9/4/2020;10/4/2020;11/4/2020;21/4/2020;23/4/2020;24/4/2020;25/4/2020;26/4/2020
-316.327.672;-607.087.649;3;SANTA FE;LA CAPITAL;SANTA FE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;8;8;13;17;18;18;22;22;22;22;23;23;26;26;26;27;27;27;27;27;27;27;27
-316.693.764;-607.664.907;7;SANTA FE;LA CAPITAL;SANTO TOM…;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
-317.705.473;-608.392.221;26;SANTA FE;LA CAPITAL;SAUCE VIEJO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-314.485.752;-609.312.205;27;SANTA FE;LAS COLONIAS;ESPERANZA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-315.852.898;-609.427.506;28;SANTA FE;LAS COLONIAS;FRANCK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-31.398.957;-610.835.591;29;SANTA FE;LAS COLONIAS;HUMBOLDT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-317.509.269;-611.084.008;30;SANTA FE;LAS COLONIAS;SAN CARLOS SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-331.548.014;-605.168.353;17;SANTA FE;ROSARIO;ARROYO SECO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
-329.192.677;-608.140.882;11;SANTA FE;ROSARIO;FUNES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5
-328.547.448;-607.067.372;31;SANTA FE;ROSARIO;GRANADERO BAIGORRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2
-329.609.195;-606.785.453;2;SANTA FE;ROSARIO;ROSARIO;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;8;10;12;20;23;30;44;51;56;58;65;68;73;76;77;79;79;80;81;96;97;97;98;98
