Municipio;País;Provincia;Latitud (generado);Longitud (generado);Casos;Muertes;Fecha actualización;Fuente;;;;;;;;;;;;;;;;;
General San Martín;Argentina;Provincia de Buenos Aires;-34,5446;-58,5708;67;4;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Hurlingham;Argentina;Provincia de Buenos Aires;-34,598;-58,6539;10;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Ituzaingó;Argentina;Provincia de Buenos Aires;-34,64;-58,6897;21;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
José C. Paz;Argentina;Provincia de Buenos Aires;-34,5053;-58,7791;7;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Junín;Argentina;Provincia de Buenos Aires;-34,5484;-60,9758;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
La Costa;Argentina;Provincia de Buenos Aires;-36,6559;-56,6926;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
La Matanza;Argentina;Provincia de Buenos Aires;-34,7741;-58,6352;47;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
La Plata;Argentina;Provincia de Buenos Aires;-35,0329;-57,9881;47;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Lanús;Argentina;Provincia de Buenos Aires;-34,7081;-58,3936;16;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Lobería;Argentina;Provincia de Buenos Aires;-38,0695;-58,6898;2;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Lobos;Argentina;Provincia de Buenos Aires;-35,2075;-59,155;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Lomas de Zamora;Argentina;Provincia de Buenos Aires;-34,7514;-58,409;30;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Luján;Argentina;Provincia de Buenos Aires;-34,589;-59,1587;12;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Malvinas Argentinas;Argentina;Provincia de Buenos Aires;-34,4843;-58,7212;17;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Mar Chiquita;Argentina;Provincia de Buenos Aires;-37,4823;-57,6563;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Marcos Paz;Argentina;Provincia de Buenos Aires;-34,8206;-58,8346;2;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Mercedes;Argentina;Provincia de Buenos Aires;-34,7012;-59,4293;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Merlo;Argentina;Provincia de Buenos Aires;-34,706;-58,7477;41;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Moreno;Argentina;Provincia de Buenos Aires;-34,5936;-58,8044;37;2;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Morón;Argentina;Provincia de Buenos Aires;-34,6463;-58,6191;29;4;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Necochea;Argentina;Provincia de Buenos Aires;-38,1794;-59,1146;3;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Olavarría;Argentina;Provincia de Buenos Aires;-36,857;-60,7131;3;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Patagones;Argentina;Provincia de Buenos Aires;-40,1867;-62,8599;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Pergamino;Argentina;Provincia de Buenos Aires;-33,8637;-60,5808;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Pilar;Argentina;Provincia de Buenos Aires;-34,4391;-58,8995;51;1;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Pinamar;Argentina;Provincia de Buenos Aires;-37,1038;-56,8652;2;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
Presidente Perón;Argentina;Provincia de Buenos Aires;-34,9451;-58,413;1;0;19/04/2020;Martín Duré y Eduardo Mejías para la Agencia Universitaria de Noticias y Opinión (Auno) de manera colaborativa con La Nación Data.;;;;;;;;;;;;;;;;;
