Departamento;Localidad;casos
;Barranqueras ;28
;Charata ;2
;Isla del Cerrito ;5
;Fontana ;11
;Las Palmas ;1
;Makallé ;1
;Margarita Belén ;2
;Nueva Pompeya ;1
;Pampa del Indio ;1
;Puerto Bermejo ;6
;Puerto Vilelas ;5
;Villa Ángela ;3
;Resistencia ;227
;Puerto Eva Perón;1
